,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
32,0.805,0.8177,0.8308,0.8388,0.8437,0.8503,0.8541,0.8592,0.8632,0.8652,0.8693,0.8698,0.8726,0.8742,0.8744,0.8775,0.8804,0.8807,0.8832,0.8843,0.8849,0.8843,0.8849,0.8864,0.8855,0.8863,0.887,0.8892,0.8912,0.89,0.8915,0.8904,0.8907,0.892,0.8905,0.8915,0.8901,0.8907,0.8945,0.8933,0.8929,0.8943,0.8943,0.8955,0.896,0.8936,0.8914,0.8975,0.8971,0.8961,0.8977
33,0.8085,0.8236,0.8314,0.8405,0.8457,0.8511,0.8536,0.8591,0.8603,0.864,0.8665,0.8664,0.8686,0.872,0.8733,0.8742,0.8735,0.8758,0.8778,0.8787,0.8822,0.882,0.8806,0.8821,0.8822,0.884,0.8855,0.8869,0.8879,0.8885,0.8876,0.8862,0.8891,0.8907,0.8882,0.891,0.8918,0.8931,0.892,0.8953,0.8948,0.8917,0.8963,0.8933,0.895,0.8946,0.8991,0.8959,0.8986,0.8962,0.9002
34,0.8113,0.8207,0.8312,0.8394,0.8488,0.8542,0.8584,0.8599,0.8626,0.8663,0.8674,0.8705,0.8726,0.8722,0.8744,0.8766,0.8785,0.8783,0.8825,0.8836,0.8842,0.8863,0.8851,0.8868,0.8886,0.8891,0.8879,0.8875,0.891,0.8901,0.8907,0.892,0.8925,0.8934,0.8942,0.8958,0.8948,0.8959,0.896,0.8966,0.896,0.8951,0.8961,0.8969,0.896,0.8971,0.8971,0.8979,0.8983,0.8981,0.9013
35,0.813,0.8265,0.8322,0.8389,0.8438,0.8477,0.8538,0.8569,0.858,0.8625,0.8634,0.8665,0.868,0.8717,0.872,0.8732,0.8758,0.8775,0.8792,0.8792,0.8818,0.8818,0.8828,0.8842,0.884,0.8832,0.8869,0.886,0.8877,0.8877,0.8884,0.887,0.8898,0.89,0.8899,0.893,0.8931,0.8905,0.8922,0.8923,0.8947,0.8919,0.8942,0.8966,0.8954,0.8964,0.8958,0.8985,0.8992,0.8975,0.8963
36,0.8163,0.8266,0.834,0.8404,0.8467,0.8523,0.8533,0.8567,0.8594,0.8607,0.8626,0.8659,0.868,0.872,0.8716,0.8732,0.8752,0.8775,0.8778,0.8782,0.8787,0.88,0.8829,0.883,0.8832,0.8834,0.8834,0.8847,0.8871,0.8863,0.8873,0.8893,0.8896,0.8929,0.8909,0.8921,0.8926,0.8926,0.8941,0.8937,0.8945,0.8955,0.8955,0.8984,0.8973,0.8994,0.8957,0.8993,0.8986,0.8981,0.899
37,0.8114,0.822,0.83,0.8397,0.8442,0.85,0.8524,0.8551,0.8588,0.8619,0.8653,0.8654,0.8688,0.871,0.8724,0.873,0.8738,0.8772,0.8798,0.8804,0.8811,0.879,0.8834,0.8855,0.8849,0.8868,0.8861,0.8882,0.8894,0.8886,0.8894,0.8902,0.8907,0.8921,0.8931,0.895,0.8933,0.8957,0.8957,0.8934,0.8975,0.8967,0.896,0.8987,0.8965,0.9001,0.8948,0.8995,0.9007,0.8988,0.9011
38,0.8089,0.8234,0.8305,0.835,0.8425,0.8471,0.8496,0.8518,0.8552,0.8591,0.8612,0.8635,0.8644,0.8681,0.87,0.869,0.8694,0.8723,0.874,0.8749,0.8766,0.8764,0.8802,0.8817,0.8807,0.8824,0.8845,0.8858,0.885,0.8841,0.8879,0.8877,0.8901,0.8895,0.8901,0.8919,0.8914,0.8914,0.8939,0.8898,0.8947,0.8913,0.8931,0.896,0.8931,0.8967,0.8964,0.8994,0.8985,0.8949,0.899
39,0.826,0.8338,0.8425,0.8471,0.8523,0.8536,0.859,0.8626,0.8645,0.8645,0.8679,0.8698,0.8726,0.8742,0.8759,0.8775,0.8794,0.8803,0.8835,0.8823,0.8841,0.8851,0.8871,0.8861,0.8869,0.8861,0.8862,0.8906,0.8904,0.8895,0.8916,0.8906,0.8913,0.8939,0.8928,0.8943,0.8945,0.8974,0.8969,0.8957,0.8956,0.895,0.8975,0.8961,0.8965,0.8963,0.8978,0.8958,0.8997,0.8962,0.8985
40,0.815,0.8236,0.8313,0.8388,0.8467,0.8527,0.8559,0.8617,0.8649,0.8643,0.868,0.8704,0.874,0.872,0.8747,0.8754,0.8769,0.8795,0.8802,0.8817,0.8813,0.8832,0.8824,0.8852,0.8847,0.887,0.8878,0.8866,0.8879,0.8903,0.8881,0.8895,0.8902,0.8915,0.8901,0.8906,0.8918,0.8919,0.8912,0.8932,0.8939,0.8946,0.8948,0.8956,0.8944,0.8976,0.8977,0.8966,0.8979,0.8984,0.8972
41,0.8172,0.83,0.8377,0.8447,0.848,0.8525,0.8574,0.857,0.8611,0.8633,0.8663,0.8671,0.8689,0.871,0.8704,0.8728,0.8746,0.8762,0.877,0.8765,0.8787,0.8794,0.8816,0.8833,0.8835,0.8819,0.884,0.8866,0.8869,0.8863,0.8854,0.8858,0.8899,0.8904,0.89,0.8898,0.8908,0.8914,0.894,0.8924,0.8936,0.8938,0.8947,0.8982,0.8944,0.8976,0.8946,0.8991,0.8998,0.893,0.8997
42,0.8108,0.8242,0.8337,0.8398,0.8451,0.8507,0.8559,0.8606,0.8628,0.8656,0.8671,0.869,0.8696,0.8706,0.8718,0.8755,0.8763,0.8773,0.8784,0.8789,0.8796,0.8804,0.8828,0.8835,0.883,0.8852,0.8849,0.8879,0.8862,0.8882,0.8887,0.8878,0.891,0.891,0.8905,0.891,0.8927,0.8935,0.8937,0.8934,0.897,0.8963,0.8956,0.8972,0.8968,0.8984,0.8957,0.899,0.9001,0.8986,0.8991
43,0.8139,0.8238,0.8369,0.8437,0.8505,0.8528,0.8567,0.86,0.8631,0.8662,0.8682,0.8698,0.871,0.8735,0.8743,0.8755,0.8757,0.8772,0.8792,0.8794,0.8799,0.8795,0.8811,0.8821,0.8839,0.8843,0.8858,0.8869,0.8874,0.8871,0.8882,0.8897,0.888,0.8907,0.8879,0.8897,0.8927,0.8906,0.8947,0.8917,0.8942,0.8916,0.8952,0.8961,0.8931,0.8957,0.8935,0.8958,0.8979,0.8957,0.8969
44,0.8164,0.8271,0.8371,0.8427,0.8502,0.8534,0.8581,0.8597,0.8613,0.8652,0.8673,0.8682,0.8703,0.8731,0.876,0.8772,0.879,0.8817,0.8816,0.8816,0.8854,0.8825,0.8855,0.8865,0.8869,0.8888,0.8878,0.8889,0.8876,0.8903,0.8917,0.8928,0.8912,0.8941,0.8932,0.8949,0.8948,0.8955,0.8964,0.8977,0.8989,0.901,0.8977,0.8985,0.8976,0.9006,0.9015,0.8989,0.8967,0.8973,0.9008
45,0.811,0.8226,0.8313,0.8386,0.8458,0.8489,0.8523,0.8564,0.8617,0.8648,0.8654,0.8685,0.8701,0.8718,0.8725,0.8742,0.8739,0.8768,0.8771,0.8801,0.8808,0.8814,0.8824,0.8843,0.8851,0.884,0.8866,0.8884,0.8906,0.8895,0.89,0.8887,0.8928,0.8924,0.8927,0.8942,0.8925,0.8948,0.8949,0.894,0.8957,0.8917,0.896,0.8939,0.8957,0.8969,0.8966,0.8983,0.8989,0.9002,0.9017
46,0.8157,0.8236,0.8388,0.8437,0.8482,0.8544,0.8615,0.8643,0.8679,0.8685,0.8702,0.8719,0.8759,0.8761,0.8763,0.8779,0.8781,0.8806,0.8826,0.8837,0.8837,0.8866,0.8873,0.8898,0.889,0.8902,0.8893,0.8905,0.8916,0.8918,0.8919,0.8908,0.8928,0.8945,0.8953,0.894,0.8942,0.8937,0.8969,0.8973,0.8977,0.8975,0.8988,0.8965,0.8938,0.8955,0.8994,0.8975,0.8986,0.8977,0.9
47,0.8078,0.8216,0.831,0.8395,0.845,0.85,0.8551,0.8577,0.8602,0.8619,0.8648,0.8678,0.8709,0.8721,0.8735,0.8736,0.8748,0.8762,0.878,0.8784,0.878,0.8799,0.8808,0.8833,0.8821,0.8838,0.8851,0.884,0.8873,0.8855,0.8882,0.8863,0.8881,0.8933,0.8897,0.892,0.8912,0.8919,0.8933,0.8933,0.8964,0.8941,0.8943,0.8937,0.8933,0.8961,0.8938,0.894,0.8945,0.8942,0.8947
48,0.8174,0.8281,0.8392,0.8456,0.8531,0.8572,0.8587,0.8605,0.8654,0.8669,0.8697,0.8706,0.8723,0.8751,0.8773,0.8777,0.8812,0.8836,0.8845,0.8837,0.8858,0.886,0.8877,0.8881,0.8859,0.8892,0.8892,0.8906,0.8927,0.8925,0.8944,0.8936,0.894,0.8943,0.8949,0.8957,0.8957,0.8963,0.895,0.8963,0.8966,0.8977,0.8991,0.897,0.8972,0.8942,0.898,0.8979,0.8991,0.8996,0.8967
49,0.809,0.8234,0.8346,0.8433,0.8479,0.851,0.8563,0.8585,0.8608,0.8639,0.8668,0.8683,0.8684,0.8714,0.8723,0.8739,0.8758,0.8764,0.8775,0.877,0.8795,0.8814,0.8821,0.884,0.882,0.8855,0.8873,0.8877,0.8879,0.8895,0.8893,0.8915,0.8913,0.8928,0.8916,0.8903,0.8937,0.8923,0.8946,0.8935,0.8968,0.8929,0.8981,0.8985,0.8949,0.8967,0.8959,0.8986,0.9003,0.8962,0.899
